,,,,,,,,,,,
Board Size,Required streak,PERCENTAGES →,Expected win,Expected win + draw,AI aided wins,AI aided wins+draws,P-value,Chi-squared,Accept?,Accuracy,Loss function
3x3,3,,"0,2845","0,410333333333333","0,65","0,763333333333333","1,00E-15",68,Y,0.8,0.66
,,,,,,,,,,,
4x4,3,,"0,4099","0,411133333333333","0,68","0,68","1,00E-07",30,Y,0.67,0.6
,4,,"0,2723","0,686033333333333","0,73","0,94","1,00E-24",107,Y,0.56,0.88
,,,,,,,,,,,
5x5,3,,"0,4333","0,44","0,62","0,62","2,00E-03",14,Y,0.71,0.53
,4,,"0,40395","0,47075","0,59","0,7","2,00E-05",21,Y,0.63,0.76
,5,,"0,1522","0,756","0,14","0,75","0,94","0,11",N,0.72,0.66
,,,,,,,,,,,
6x6,3,,"0,4447","0,45","0,58","0,58","6,00E-03","7,2",Y,0.79,0.4
,4,,"0,4521","0,4578","0,48","0,5","0,12","4,1",N,0.78,0.42
,5,,"0,3479","0,6115","0,26","0,66","7,00E-03","9,9",Y,"0,65",0.75
,,,,,,,,,,,
8x8,3,,"0,4677","0,4677","0,59","0,59","1,00E-02",6.0,Y,"0,85","0,3"
,4,,"0,4776","0,48","0,47","0,47","0,83","0,02",N,"0,86","0,3"
,5,,"0,466","0,4882","0,36","0,413333333333333",0.08,5.7,N,0.83,0.37
,,,,,,,,,,,
10x10,3,,no data,,,,,,,,
,4,,"0,477","0,477","0,7","0,7","1,00E-06",20,Y,"0,9","0,22"
,5,,"0,4748","0,4749","0,68","0,7","4,00E-05",17,Y,0.89,0.23
,,,,,,,,,,,
12x12,3,,"0,48","0,48","0,72","0,72","1,00E-06",23,Y,0.93,0.15
,4,,no data,,,,,,,,
,5,,"0,49","0,49","0,95","0,95","1,00E-20",85,Y,0.93,0.16
,,,,,,,,,,,
15x15,3,,"0,47","0,47","0,94","0,94","1,00E-20",80,Y,"0,96","0,14"
,4,,"0,49","0,49","0,98","0,98","1,00E-20",85,Y,"0,97",0.08
,5,,"0,492","0,492","0,96","0,96","1,00E-20",80,Y,"0,93","0,12"
